,customer_number,Cluster,fruit_veg,dairy,confectionary,grocery_food,grocery_health_pets,newspapers_magazines,prepared_meals,soft_drinks,frozen,meat,tobacco,drinks,deli,world_foods,lottery,seasonal_gifting,discount_bakery,practical_items,total_spend,recency,frequency,name
816,16140,1,29.36,20.99,51.0,11.82,15.15,9.29,6.53,5.26,21.29,0.0,219.19,0.0,1.1,14.77,67.0,0.67,0.0,1.52,597.78,2,69,b
817,10814,2,92.13,69.82,55.9,97.31,60.68,111.3,18.4,28.74,69.48,110.15,305.54,143.06,72.19,3.67,11.0,1.13,70.22,0.0,1426.32,1,215,c
818,14575,4,14.17,4.14,4.26,4.78,2.49,0.75,0.0,1.1,3.0,18.06,0.0,0.0,8.28,2.32,0.0,0.0,8.6,0.0,73.65,68,6,e
819,1999,3,110.76,70.49,144.86,87.23,163.86,15.69,3.58,29.19,69.5,48.86,0.0,146.41,38.24,18.74,0.0,11.44,0.0,1.51,1055.87,7,65,d
820,16117,0,114.18,160.02,113.29,244.66,78.65,72.1,3.21,141.26,243.86,0.0,0.0,0.0,42.28,92.18,12.0,1.01,0.0,5.08,1359.55,3,69,a
821,8759,3,106.13,49.4,20.28,67.64,90.53,30.55,16.67,12.81,37.74,47.46,2.98,273.46,4.78,9.52,10.0,4.79,0.0,0.0,804.1999999999999,17,37,d
822,3168,4,30.0,34.24,8.89,14.47,14.46,1.99,10.3,3.23,8.66,32.8,0.0,8.48,0.85,0.0,0.0,7.26,8.91,0.0,195.46,11,17,e
823,7280,3,80.86,83.21,116.53,85.54,115.62,0.85,73.73,6.27,67.39,44.2,0.0,8.76,1.14,3.17,0.0,0.0,0.0,9.85,720.28,5,55,d
824,7359,2,16.22,31.39,79.45,28.67,54.91,13.2,31.2,39.93,27.22,41.95,71.53,44.04,27.07,23.27,0.0,0.0,0.0,0.0,549.3699999999999,1,45,c
825,6335,1,11.17,10.72,15.27,32.68,38.59,0.48,12.28,2.67,15.35,16.12,58.51,18.53,0.0,0.0,47.0,2.89,0.0,0.0,385.41,70,21,b
826,14885,4,2.63,2.19,3.35,1.46,2.03,2.5,1.28,0.0,1.58,7.09,0.0,45.43,1.8,0.0,0.0,2.71,1.7,17.0,93.1,38,13,e
827,7621,3,175.26,69.72,67.57,157.09,57.91,1.5,125.67,13.58,68.95,84.0,17.62,94.95,15.61,11.74,0.0,1.13,0.0,1.27,1020.4100000000001,33,38,d
828,6791,4,46.69,53.17,32.82,31.15,8.74,3.46,17.07,3.78,10.82,42.99,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,261.21,20,22,e
829,4869,1,14.45,50.12,46.76,10.07,53.91,14.0,14.61,10.45,8.65,6.98,169.11,0.0,12.9,23.76,0.0,2.68,0.0,0.0,821.6999999999999,8,61,b
830,10554,2,56.77,65.92,88.05,77.7,60.48,8.35,29.27,4.57,76.74,96.06,116.49,3.31,8.15,40.09,0.0,1.99,0.0,0.0,781.59,2,47,c
831,236,3,85.73,62.21,73.88,13.08,25.93,5.78,38.93,42.61,38.88,14.28,0.0,10.2,13.73,0.78,0.0,3.9,0.0,0.0,650.0699999999999,5,75,d
832,1926,0,78.11,43.91,29.4,7.11,23.82,199.02,20.79,44.32,2.65,62.28,0.0,0.0,40.65,19.96,0.0,6.35,0.0,0.0,625.16,1,229,a
833,9655,2,92.05,106.98,110.53,56.28,36.16,2.75,39.4,37.76,80.37,51.59,196.25,13.16,2.78,22.19,54.0,0.0,0.0,0.0,1329.29,2,104,c
834,16287,1,52.24,81.16,81.52,15.7,27.27,28.55,23.9,29.44,2.18,0.0,10.54,7.64,0.8,0.0,81.0,0.0,0.0,0.0,765.72,8,71,b
835,2162,4,1.89,45.71,103.4,30.64,33.82,0.42,117.65,12.92,17.61,7.3,0.0,45.03,0.0,13.87,0.0,0.0,0.0,0.0,435.5,7,28,e
836,1717,3,147.08,216.04,122.08,122.48,93.32,55.71,63.79,191.55,73.14,234.38,0.0,7.22,2.79,20.88,9.0,21.42,29.02,0.0,1562.5100000000002,4,70,d
837,14880,0,119.28,60.33,44.19,75.8,21.17,8.13,67.29,0.0,42.5,100.84,0.0,0.0,12.51,8.13,8.0,11.68,21.51,0.0,691.53,1,78,a
838,5256,2,157.16,144.28,92.1,69.13,381.7,11.65,122.2,74.04,54.82,281.3,1233.83,3.6,0.0,15.32,2.0,9.1,0.0,2.56,2900.34,2,78,c
839,11054,0,103.36,90.45,88.2,94.88,79.77,3.8,12.99,16.01,39.09,31.33,0.0,0.0,0.0,12.23,0.0,4.24,0.0,2.55,594.34,7,36,a
840,10862,3,117.19,47.87,34.67,23.67,25.92,2.36,38.42,6.42,7.19,32.56,0.0,20.14,0.0,3.43,1.0,10.99,24.28,0.0,444.7,1,56,d
841,182,4,13.56,44.0,48.66,70.87,16.46,88.34,5.43,1.01,7.13,4.58,0.0,19.55,16.87,10.1,2.0,2.25,0.0,0.0,389.09000000000003,1,102,e
